Ref_Date,GEO,AGE,SEX,MHWBPROF,UNIT,Value
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable major depressive episode,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met",Number of persons,1195955
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met","Low 95% confidence interval, number of persons",1118121
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met","High 95% confidence interval, number of persons",1273788
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met",Coefficient of variation for number of persons,3.3
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met",Percent,4.8
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met","Low 95% confidence interval, percent",4.5
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met","High 95% confidence interval, percent",5.1
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, all measured criteria are met",Coefficient of variation for percent,3.3
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met",Number of persons,23691051
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met","Low 95% confidence interval, number of persons",23608972
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met","High 95% confidence interval, number of persons",23773130
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met",Coefficient of variation for number of persons,0.2
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met",Percent,94.8
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met","Low 95% confidence interval, percent",94.4
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met","High 95% confidence interval, percent",95.1
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, measured criteria not met",Coefficient of variation for percent,0.2
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated",Number of persons,109587
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated","Low 95% confidence interval, number of persons",86980
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated","High 95% confidence interval, number of persons",132194
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated",Coefficient of variation for number of persons,10.5
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated",Percent,0.4
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated","Low 95% confidence interval, percent",0.3
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated","High 95% confidence interval, percent",0.5
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, not stated",Coefficient of variation for percent,10.5
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),"Low 95% confidence interval, percent",100
